382	766	697	696	
732	641	341	734	
454	462	695	381	
710	396	711	789	
900	525	124	911	
724	630	789	437	
33	306	238	880	
287	614	613	710	
287	614	710	396	
287	614	396	288	
867	872	167	566	
353	436	674	773	
845	72	858	257	
764	682	681	354	
892	31	305	32	
662	750	356	417	
712	836	711	615	
529	908	528	233	
820	272	598	819	
662	663	356	750	
716	787	786	480	
798	663	750	356	
559	160	159	863	
578	679	368	678	
889	243	43	885	
261	849	586	585	
493	663	418	751	
757	360	758	670	
449	493	418	751	
311	889	43	44	
647	309	546	545	
790	738	429	412	
327	583	582	855	
647	738	790	412	
798	493	663	356	
438	640	341	732	
775	467	761	763	
674	374	673	759	
448	798	750	356	
757	451	758	360	
276	822	823	97	
31	237	30	879	
467	693	692	761	
305	344	538	238	
467	693	761	457	
493	798	448	356	
421	757	360	451	
253	568	871	868	
407	528	233	631	
682	462	764	791	
757	421	360	670	
683	765	454	791	
455	693	379	457	
893	544	241	308	
413	640	488	656	
863	316	877	54	
911	124	125	525	
767	369	766	458	
281	390	282	607	
379	817	596	271	
259	682	354	681	
248	53	54	863	
910	229	13	296	
863	316	54	248	
682	462	791	367	
16	899	230	15	
520	297	623	521	
528	300	902	527	
651	349	550	415	
454	462	367	791	
553	350	245	552	
740	441	442	496	
774	512	797	719	
862	315	876	52	
254	878	321	65	
878	254	869	65	
662	417	356	249	
784	434	478	433	
351	352	747	483	
67	917	870	224	
611	707	393	708	
820	94	272	819	
729	339	431	484	
757	804	758	451	
509	743	807	464	
78	77	855	327	
579	859	258	846	
509	743	744	796	
819	199	818	598	
199	597	818	598	
776	768	495	809	
457	463	761	467	
358	419	753	450	
749	661	660	355	
474	394	393	708	
858	72	324	257	
262	850	330	587	
500	624	720	487	
520	297	521	912	
269	594	595	816	
817	271	92	818	
817	597	818	198	
460	812	516	813	
379	817	271	270	
864	356	561	317	
563	163	865	164	
385	824	386	277	
867	668	320	252	
817	597	198	596	
817	597	596	271	
911	526	901	299	
409	635	532	235	
510	512	719	808	
910	119	898	519	
707	284	706	610	
598	271	818	272	
526	232	901	299	
553	152	887	153	
378	596	379	817	
900	525	911	231	
498	723	629	789	
518	910	296	519	
630	407	631	528	
210	830	609	829	
223	265	915	87	
306	894	880	33	
378	596	817	595	
487	512	499	719	
628	372	629	526	
595	269	816	817	
265	1	915	87	
760	438	732	640	
540	306	539	641	
595	377	378	691	
223	2	222	916	
735	643	497	736	
652	743	464	742	
595	269	817	378	
864	317	561	875	
45	886	312	244	
888	47	313	48	
386	278	277	824	
864	356	317	249	
294	115	840	841	
226	49	29	246	
620	293	840	294	
570	254	571	869	
917	68	67	255	
856	573	175	574	
376	772	673	810	
675	440	361	771	
798	493	448	403	
680	354	326	365	
841	294	620	840	
237	86	225	852	
322	870	571	869	
86	237	264	852	
277	823	824	98	
278	604	824	386	
160	559	877	863	
683	454	362	367	
862	315	52	247	
558	159	876	863	
575	177	858	576	
689	263	426	589	
640	488	438	344	
276	97	823	98	
696	600	697	382	
376	772	810	427	
269	817	378	270	
773	754	450	436	
378	596	595	692	
281	703	389	390	
287	834	288	109	
826	605	206	825	
837	111	290	836	
113	292	838	291	
314	657	555	874	
657	556	555	874	
874	657	247	314	
287	108	834	109	
782	474	393	708	
616	289	836	290	
42	243	885	43	
711	289	835	836	
889	243	885	550	
384	385	602	699	
336	498	629	789	
707	782	393	708	
888	553	887	153	
900	525	231	524	
630	300	528	527	
245	553	887	313	
30	86	5	225	
900	298	524	231	
911	526	125	901	
544	308	543	645	
780	496	741	705	
154	888	554	227	
609	282	608	829	
638	657	340	731	
229	910	898	519	
254	672	655	361	
58	250	865	318	
720	808	510	719	
617	399	400	714	
243	548	549	348	
243	415	348	549	
740	441	496	741	
188	853	187	586	
76	75	857	326	
682	683	367	791	
914	235	904	533	
584	854	260	328	
435	374	436	759	
133	534	134	905	
877	864	249	560	
812	460	447	800	
399	400	838	617	
67	917	255	322	
669	421	670	253	
448	787	480	492	
822	600	601	202	
671	670	868	569	
404	718	591	690	
669	757	670	421	
817	379	378	270	
908	529	528	128	
580	680	681	326	
583	184	582	855	
617	618	400	838	
298	900	913	17	
838	400	399	291	
897	518	910	296	
838	618	292	839	
684	583	362	260	
117	897	227	554	
847	581	183	582	
443	464	411	653	
463	761	763	678	
379	467	692	378	
467	693	457	379	
531	302	532	907	
292	618	838	400	
223	265	87	814	
176	575	844	574	
339	635	431	409	
350	552	411	312	
542	240	895	307	
154	10	227	117	
682	462	367	354	
830	610	211	609	
441	742	472	741	
743	652	464	653	
237	413	264	590	
705	391	704	608	
325	859	578	577	
273	94	820	95	
705	496	704	391	
553	888	887	313	
552	551	653	411	
328	584	685	684	
548	650	348	414	
719	512	510	487	
265	814	266	87	
61	872	319	60	
675	361	655	771	
792	793	505	811	
344	341	640	238	
265	718	266	814	
724	476	725	631	
905	303	27	914	
817	595	596	197	
881	34	894	239	
539	341	238	640	
562	163	875	865	
539	341	640	641	
25	302	904	235	
487	720	510	719	
55	316	877	249	
386	701	387	604	
864	55	877	249	
701	386	700	604	
584	328	685	585	
880	892	538	238	
706	391	283	392	
556	157	862	557	
468	776	453	495	
416	351	315	659	
56	864	249	55	
728	792	505	433	
748	658	351	659	
548	148	147	890	
56	317	249	864	
621	294	620	841	
52	53	315	876	
669	320	567	668	
210	830	211	609	
506	774	797	745	
609	282	829	830	
374	593	673	376	
848	327	855	583	
583	584	260	684	
672	254	655	571	
405	578	368	678	
297	899	912	15	
261	685	585	686	
584	328	260	684	
482	805	445	508	
282	830	391	283	
297	624	335	623	
298	900	17	231	
911	526	299	525	
597	199	818	198	
234	633	531	302	
612	833	832	213	
598	271	272	380	
378	596	692	379	
780	496	705	391	
598	271	380	694	
818	272	271	93	
512	781	473	509	
625	721	500	720	
608	210	829	209	
390	608	282	607	
608	828	282	607	
834	613	214	833	
509	743	796	807	
484	729	730	794	
67	3	68	224	
635	729	431	728	
358	319	420	667	
856	256	844	70	
562	317	561	663	
358	754	436	450	
282	828	829	103	
915	223	621	690	
806	775	502	772	
507	742	428	464	
104	282	829	103	
876	658	557	659	
683	327	582	367	
259	847	327	582	
683	583	582	327	
221	841	222	620	
581	259	682	582	
916	404	591	690	
841	621	222	620	
620	293	294	402	
360	671	321	422	
193	223	916	2	
332	342	522	625	
837	218	217	616	
660	863	559	558	
465	429	703	389	
270	91	817	92	
522	342	332	230	
377	376	673	268	
583	848	184	855	
522	523	230	332	
795	483	813	799	
620	294	621	717	
259	582	367	682	
523	298	230	332	
333	542	541	307	
840	715	839	293	
845	859	577	179	
715	716	401	293	
603	386	604	700	
840	715	293	716	
685	369	686	261	
570	254	869	878	
606	826	605	207	
462	380	695	381	
870	869	172	571	
570	878	671	321	
357	564	419	665	
273	272	599	820	
599	272	273	381	
135	536	906	535	
905	236	535	304	
640	539	538	238	
403	787	402	448	
671	672	321	422	
360	671	422	758	
672	254	321	422	
892	305	238	32	
61	867	252	319	
595	196	816	594	
883	309	891	39	
452	677	762	481	
742	507	428	472	
867	668	252	566	
882	142	543	895	
545	309	546	891	
713	290	398	616	
820	599	200	598	
671	672	422	758	
291	837	838	112	
336	630	629	527	
409	431	433	728	
792	784	478	433	
475	394	494	722	
401	479	480	785	
902	22	21	233	
330	371	588	263	
689	263	589	588	
727	784	792	433	
606	826	207	827	
506	774	745	446	
409	727	634	728	
908	529	301	233	
335	622	774	363	
409	727	728	433	
409	727	433	338	
747	430	795	483	
360	671	758	670	
439	702	779	444	
837	617	838	218	
322	573	361	655	
361	672	771	422	
254	322	869	66	
273	274	600	382	
870	322	571	572	
275	96	274	822	
845	179	577	178	
784	727	434	433	
632	408	337	725	
185	848	184	583	
432	476	337	725	
223	915	404	690	
421	756	486	359	
611	831	832	285	
515	746	762	806	
489	735	642	643	
408	432	337	725	
528	529	233	631	
265	718	814	591	
718	265	404	591	
831	285	106	832	
476	407	337	631	
476	724	407	631	
776	809	503	777	
296	228	639	364	
639	518	296	519	
388	702	444	389	
724	630	407	631	
340	236	304	637	
710	396	789	723	
345	543	240	308	
441	650	348	651	
343	412	738	646	
461	736	701	471	
289	288	711	835	
916	265	814	591	
870	572	172	173	
342	625	332	500	
439	702	444	388	
193	916	814	591	
564	165	873	866	
738	412	343	444	
512	473	808	510	
842	376	593	374	
842	374	266	267	
357	564	665	563	
903	531	234	530	
357	564	563	318	
390	704	703	739	
881	540	140	541	
163	562	563	865	
562	250	563	865	
415	651	348	549	
378	775	466	467	
878	64	868	253	
811	478	516	505	
651	650	348	549	
245	896	887	552	
193	916	591	2	
416	248	355	660	
344	640	538	238	
539	341	641	306	
688	262	687	370	
399	478	400	714	
459	360	422	758	
495	768	370	769	
401	479	714	400	
586	853	261	329	
482	769	370	425	
687	688	370	769	
688	262	425	330	
77	259	76	847	
482	495	370	769	
811	792	478	505	
842	376	374	267	
316	55	877	54	
452	405	678	677	
638	314	246	340	
452	463	678	405	
409	635	431	728	
579	859	846	180	
379	693	271	596	
481	366	676	406	
728	505	517	431	
751	449	403	690	
457	368	680	679	
497	471	736	461	
779	343	439	444	
236	636	303	534	
636	729	730	484	
226	49	7	29	
646	545	544	241	
542	333	373	307	
713	290	616	837	
655	322	572	571	
691	377	673	594	
846	580	181	857	
416	248	659	315	
836	616	615	712	
571	254	570	672	
171	570	571	869	
837	291	290	112	
572	870	172	571	
369	328	261	685	
471	778	736	700	
237	537	879	305	
853	329	587	850	
82	329	850	262	
152	151	552	896	
259	847	857	76	
859	325	258	74	
779	738	343	444	
643	333	541	642	
702	738	444	389	
361	771	440	422	
293	839	840	114	
764	354	681	455	
282	830	283	104	
659	876	248	558	
248	876	863	558	
298	900	524	913	
523	298	524	913	
826	207	206	605	
294	116	115	841	
455	680	681	733	
682	683	582	367	
367	582	259	327	
355	749	492	447	
388	702	605	387	
683	583	362	684	
608	828	607	209	
608	210	609	829	
423	485	362	684	
606	280	826	827	
485	765	454	362	
375	523	524	626	
394	721	722	708	
721	494	722	626	
336	300	630	527	
397	289	712	398	
867	320	567	871	
113	291	838	112	
715	839	401	618	
556	157	156	874	
765	683	454	362	
416	748	351	659	
485	765	362	684	
765	683	362	684	
289	111	110	836	
439	702	388	387	
890	242	310	41	
548	650	549	348	
272	599	820	598	
462	764	455	354	
460	748	799	483	
682	462	354	764	
848	327	583	260	
343	439	345	645	
738	429	444	389	
465	347	649	739	
740	390	465	739	
269	817	270	91	
856	176	844	574	
258	580	579	846	
327	683	362	367	
869	171	172	571	
848	584	854	260	
848	584	260	583	
282	830	104	829	
361	440	675	331	
696	273	382	381	
585	187	186	849	
585	854	186	584	
602	699	698	384	
539	341	306	238	
273	599	821	820	
384	385	823	602	
868	670	671	253	
698	699	469	384	
485	696	382	381	
61	867	319	872	
251	419	318	564	
613	710	709	395	
847	327	582	855	
287	710	613	395	
50	861	246	49	
468	503	469	777	
641	540	346	642	
780	496	391	472	
737	701	439	461	
446	363	774	745	
286	613	709	395	
377	691	673	772	
575	331	675	406	
406	746	675	676	
406	746	676	481	
666	319	667	565	
754	420	755	667	
403	751	798	493	
229	622	296	519	
679	463	368	678	
632	301	631	337	
784	726	783	434	
300	232	909	527	
625	332	494	626	
696	765	695	381	
231	911	299	525	
605	701	604	387	
409	727	338	634	
485	765	696	381	
335	622	363	229	
696	599	381	695	
883	309	39	241	
341	640	438	344	
903	23	234	24	
779	738	646	343	
864	662	249	560	
34	881	35	239	
663	493	418	356	
696	273	381	599	
828	281	282	607	
724	476	407	437	
149	550	885	549	
328	423	260	684	
369	685	686	767	
239	333	541	307	
467	775	513	763	
243	42	885	890	
841	221	840	620	
349	652	464	428	
651	349	415	428	
628	723	456	788	
742	652	651	428	
152	896	552	887	
86	237	225	30	
896	45	312	46	
651	349	428	652	
221	619	840	620	
429	738	703	389	
237	590	225	879	
713	784	783	477	
316	660	661	355	
732	641	640	341	
402	294	717	403	
811	517	793	505	
726	727	338	434	
618	401	714	400	
618	617	219	838	
294	621	717	403	
875	317	250	57	
56	317	875	57	
687	262	587	329	
223	621	222	841	
701	702	779	439	
573	174	843	175	
890	547	147	548	
703	738	702	389	
322	573	655	572	
426	413	488	656	
373	644	345	461	
294	621	403	295	
465	347	414	649	
649	650	548	414	
773	353	752	718	
773	754	753	450	
254	361	655	322	
185	584	186	854	
754	358	753	450	
842	89	268	267	
573	856	843	323	
573	361	323	255	
196	815	816	594	
621	690	717	403	
864	877	161	560	
665	419	752	753	
295	690	621	403	
740	441	741	650	
801	809	503	508	
606	279	826	280	
388	605	279	387	
644	497	736	461	
452	463	763	678	
819	820	200	598	
497	644	373	461	
452	467	513	763	
713	290	837	399	
616	289	290	398	
281	606	703	607	
277	99	98	824	
837	616	836	290	
483	795	747	799	
555	556	156	874	
275	97	96	822	
737	644	736	461	
452	463	467	763	
277	823	98	276	
19	232	299	901	
232	20	901	19	
742	743	464	807	
295	116	841	915	
740	650	414	442	
650	740	414	649	
465	390	389	703	
225	590	237	852	
209	828	607	208	
392	707	284	706	
192	225	852	590	
747	430	483	352	
748	460	800	416	
813	794	517	514	
42	41	890	310	
726	408	434	338	
550	243	885	549	
302	531	532	634	
336	372	629	498	
243	548	348	310	
688	330	371	588	
688	770	425	769	
265	295	404	915	
295	915	841	621	
889	149	550	885	
352	658	657	247	
430	484	730	794	
353	773	450	436	
770	482	425	769	
371	688	588	689	
625	500	494	332	
625	721	494	500	
861	155	156	555	
770	371	689	688	
75	258	846	326	
324	366	576	257	
320	63	871	62	
523	625	626	332	
482	770	425	445	
602	698	601	384	
674	773	436	759	
674	436	353	374	
325	859	73	74	
507	509	807	464	
498	372	629	723	
845	859	73	325	
915	295	404	690	
792	793	728	505	
424	768	687	370	
286	107	832	833	
811	517	505	516	
913	523	123	524	
839	619	840	220	
492	749	786	447	
378	775	467	692	
749	417	355	492	
750	448	356	417	
812	811	516	813	
840	715	716	619	
393	394	285	708	
467	775	466	513	
518	897	118	117	
377	691	466	378	
526	126	909	527	
520	120	912	521	
446	745	744	654	
839	293	715	401	
118	119	910	519	
355	800	660	749	
826	280	101	827	
242	548	649	547	
775	691	466	772	
812	800	447	786	
138	892	137	538	
529	908	129	128	
892	537	137	538	
501	812	447	786	
673	435	759	374	
447	460	812	501	
262	687	370	329	
826	100	101	279	
740	465	414	649	
454	765	381	695	
333	346	642	489	
542	333	541	643	
579	859	180	578	
823	385	384	276	
540	894	139	539	
272	599	598	695	
743	443	744	653	
889	149	150	550	
415	550	651	549	
441	742	428	472	
707	781	706	392	
473	781	393	392	
404	295	403	690	
638	314	340	657	
243	550	415	549	
864	561	161	162	
559	160	877	560	
680	368	365	258	
785	516	812	811	
561	864	161	560	
560	559	316	877	
837	616	217	836	
570	878	171	170	
856	573	843	175	
675	361	331	574	
369	767	453	458	
661	316	662	560	
632	234	301	408	
673	815	377	268	
435	420	755	436	
300	528	902	233	
300	407	528	233	
853	261	329	81	
468	698	469	384	
316	559	560	661	
342	297	522	624	
423	369	458	766	
467	775	761	692	
485	423	458	766	
295	915	621	690	
729	484	517	794	
551	244	411	312	
446	364	745	654	
204	603	824	205	
155	861	536	555	
465	740	414	442	
767	776	453	697	
248	660	659	558	
659	876	558	557	
245	896	312	46	
649	347	648	739	
69	68	843	255	
476	397	712	398	
917	68	255	843	
872	166	167	566	
685	369	766	767	
75	846	857	326	
72	845	73	257	
258	580	846	326	
482	805	508	809	
120	121	912	521	
182	581	183	847	
768	424	495	370	
639	622	296	363	
518	897	228	296	
382	766	696	485	
699	385	778	469	
262	83	850	82	
435	427	810	486	
748	483	747	799	
306	540	894	239	
540	239	346	642	
778	470	511	469	
563	418	250	562	
614	396	288	711	
594	815	593	195	
680	354	681	326	
674	353	266	374	
751	357	752	664	
737	701	779	439	
353	674	266	718	
288	834	835	109	
286	394	395	709	
396	498	723	456	
127	528	128	902	
709	394	395	475	
435	486	810	802	
80	328	849	261	
424	687	686	329	
801	489	491	511	
815	842	593	195	
385	470	778	469	
778	801	777	511	
699	778	777	469	
649	242	547	648	
691	377	466	772	
876	658	659	315	
603	604	824	205	
694	380	379	271	
511	503	777	469	
492	786	480	447	
786	501	480	447	
217	836	615	216	
715	716	786	480	
569	878	170	868	
610	831	830	211	
611	610	284	707	
372	232	526	299	
915	223	841	621	
402	787	480	448	
716	715	401	480	
378	775	692	691	
628	526	525	299	
116	295	841	294	
628	372	526	299	
562	875	250	865	
694	597	818	271	
880	892	238	32	
604	825	824	205	
539	880	538	238	
539	306	880	238	
413	344	538	305	
732	438	805	491	
33	880	238	32	
378	775	691	466	
500	624	487	342	
787	492	786	480	
281	102	828	103	
890	547	548	242	
317	663	356	561	
50	314	861	874	
28	905	304	236	
50	314	246	861	
460	812	813	799	
303	914	26	27	
749	787	750	492	
439	737	461	345	
231	627	524	525	
432	408	434	726	
34	306	33	894	
837	399	290	291	
900	124	524	123	
585	328	849	854	
1	223	915	87	
332	523	375	626	
375	523	332	298	
550	311	349	244	
295	265	1	915	
900	913	123	524	
619	221	840	220	
673	815	268	593	
243	311	415	550	
620	293	402	716	
721	625	494	626	
376	673	268	593	
769	688	370	425	
694	380	695	764	
298	913	230	16	
600	383	601	697	
625	523	522	332	
609	282	830	391	
913	899	230	16	
771	746	440	459	
611	831	610	212	
440	771	459	422	
656	426	689	488	
640	413	538	656	
330	588	860	263	
589	426	689	656	
753	773	450	752	
661	749	750	417	
905	28	27	236	
853	188	850	587	
903	531	530	130	
913	523	230	899	
292	113	839	114	
226	861	49	246	
273	274	95	821	
600	383	382	274	
297	342	522	230	
133	914	534	905	
536	304	246	906	
557	157	862	158	
269	817	91	816	
116	295	1	915	
393	782	781	473	
474	782	393	473	
713	478	399	714	
762	806	775	502	
284	707	392	393	
265	353	718	404	
515	762	481	502	
701	702	439	387	
465	429	739	703	
38	883	241	893	
193	223	814	916	
265	915	404	223	
883	309	241	545	
647	309	545	241	
883	309	545	891	
588	330	860	587	
371	330	688	425	
496	441	472	741	
443	743	509	464	
762	515	806	502	
264	589	852	590	
752	353	773	450	
371	445	689	488	
760	438	488	445	
